Index,Model,ROUGE-1,ROUGE-L,BERTScore,Summary,Transcript
4,BERT,0.635416667,0.635416667,0.940103233," Several participants noted that, in their policy deliberations, they considered whether it would be appropriate to hold the target range steady at this meeting . However, these participants also observed that the actions taken by the Federal Reserve in coordination with other government agencies helped calm conditions in the banking sector and lessen the near-term risks to economic activity and inflation .","Several participants noted that, in their policy deliberations, they considered whether it would be appropriate to hold the target range steady at this meeting. They noted that doing so would allow more time to assess the financial and economic effects of recent banking-sector developments and of the cumulative tightening of monetary policy. However, these participants also observed that the actions taken by the Federal Reserve in coordination with other government agencies helped calm conditions in the banking sector and lessen the near-term risks to economic activity and inflation. Consequently, these participants judged it appropriate to increase the target range 25 basis points because of elevated inflation, the strength of the recent economic data, and their commitment to bring inflation down to the Committee's 2 percent longer-run goal."
4,BART,0.803652968,0.803652968,0.964982629,"Several participants noted that, in their policy deliberations, they considered whether it would be appropriate to hold the target range steady at this meeting. They noted that doing so would allow more time to assess the financial and economic effects of recent banking-sector developments and of the cumulative tightening of monetary policy. These participants observed that the actions taken by the Federal Reserve in coordination with other government agencies helped calm conditions in the banking sector and lessen the near-term risks to economic activity and inflation.","Several participants noted that, in their policy deliberations, they considered whether it would be appropriate to hold the target range steady at this meeting. They noted that doing so would allow more time to assess the financial and economic effects of recent banking-sector developments and of the cumulative tightening of monetary policy. However, these participants also observed that the actions taken by the Federal Reserve in coordination with other government agencies helped calm conditions in the banking sector and lessen the near-term risks to economic activity and inflation. Consequently, these participants judged it appropriate to increase the target range 25 basis points because of elevated inflation, the strength of the recent economic data, and their commitment to bring inflation down to the Committee's 2 percent longer-run goal."
5,TF-IDF,1,0.463414634,0.978960335,"These participants noted that doing so would also allow the Committee time to better assess the effects of banking-sector developments on credit conditions and the economy as the Committee moved toward a sufficiently restrictive stance of monetary policy. However, due to the potential for banking-sector developments to tighten financial conditions and to weigh on economic activity and inflation, they judged it prudent to increase the target range by a smaller increment at this meeting. Some participants noted that given persistently high inflation and the strength of the recent economic data, they would have considered a 50 basis point increase in the target range to have been appropriate at this meeting in the absence of the recent developments in the banking sector.","Some participants noted that given persistently high inflation and the strength of the recent economic data, they would have considered a 50 basis point increase in the target range to have been appropriate at this meeting in the absence of the recent developments in the banking sector. However, due to the potential for banking-sector developments to tighten financial conditions and to weigh on economic activity and inflation, they judged it prudent to increase the target range by a smaller increment at this meeting. These participants noted that doing so would also allow the Committee time to better assess the effects of banking-sector developments on credit conditions and the economy as the Committee moved toward a sufficiently restrictive stance of monetary policy."
5,BERT,0.691489362,0.691489362,0.950324595," Some participants noted that given persistently high inflation and the strength of the recent economic data, they would have considered a 50 basis point increase in the target range to have been appropriate at this meeting . However, due to the potential for banking-sector developments to tighten financial conditions and to weigh on economic activity and inflation, they judged it prudent to increase the target .","Some participants noted that given persistently high inflation and the strength of the recent economic data, they would have considered a 50 basis point increase in the target range to have been appropriate at this meeting in the absence of the recent developments in the banking sector. However, due to the potential for banking-sector developments to tighten financial conditions and to weigh on economic activity and inflation, they judged it prudent to increase the target range by a smaller increment at this meeting. These participants noted that doing so would also allow the Committee time to better assess the effects of banking-sector developments on credit conditions and the economy as the Committee moved toward a sufficiently restrictive stance of monetary policy."
5,BART,0.708333333,0.708333333,0.957471192,"Some participants noted that given persistently high inflation and the strength of the recent economic data, they would have considered a 50 basis point increase in the target range to have been appropriate at this meeting. However, due to the potential for banking-sector developments to tighten financial conditions and to weigh on economic activity and inflation, they judged it prudent to increase thetarget range by a smaller increment.","Some participants noted that given persistently high inflation and the strength of the recent economic data, they would have considered a 50 basis point increase in the target range to have been appropriate at this meeting in the absence of the recent developments in the banking sector. However, due to the potential for banking-sector developments to tighten financial conditions and to weigh on economic activity and inflation, they judged it prudent to increase the target range by a smaller increment at this meeting. These participants noted that doing so would also allow the Committee time to better assess the effects of banking-sector developments on credit conditions and the economy as the Committee moved toward a sufficiently restrictive stance of monetary policy."
6,TF-IDF,0.823076923,0.584615385,0.964872777,"Participants emphasized that the Federal Reserve should use its liquidity and lender-of-last-resort tools, as well as its microprudential and macroprudential regulatory and supervisory tools, to address stress in the banking sector and to mitigate future financial stability risks. Participants noted that the most significant issues appeared to have been limited to a small number of banks with poor risk-management practices and that the banking system remained sound and resilient. Participants agreed that recent banking developments would factor into the Committee's monetary policy decisions to the extent that these developments affect the outlook for employment and inflation and the risks surrounding the outlook.","Participants observed that the actions taken by the Federal Reserve in coordination with other government agencies in the days preceding the meeting had served to calm conditions in the banking sector. Participants noted that the most significant issues appeared to have been limited to a small number of banks with poor risk-management practices and that the banking system remained sound and resilient. Participants emphasized that the Federal Reserve should use its liquidity and lender-of-last-resort tools, as well as its microprudential and macroprudential regulatory and supervisory tools, to address stress in the banking sector and to mitigate future financial stability risks. Participants agreed that recent banking developments would factor into the Committee's monetary policy decisions to the extent that these developments affect the outlook for employment and inflation and the risks surrounding the outlook. Participants reaffirmed their strong commitment to returning inflation to the Committee's 2 percent objective."
6,BERT,0.556603774,0.556603774,0.921690702, Participants observed that the actions taken by the Federal Reserve in coordination with other government agencies in the days preceding the meeting had served to calm conditions in the banking sector . Participants agreed that recent banking developments would factor into the Committee's monetary policy decisions to the extent that these developments affect the outlook for employment and inflation .,"Participants observed that the actions taken by the Federal Reserve in coordination with other government agencies in the days preceding the meeting had served to calm conditions in the banking sector. Participants noted that the most significant issues appeared to have been limited to a small number of banks with poor risk-management practices and that the banking system remained sound and resilient. Participants emphasized that the Federal Reserve should use its liquidity and lender-of-last-resort tools, as well as its microprudential and macroprudential regulatory and supervisory tools, to address stress in the banking sector and to mitigate future financial stability risks. Participants agreed that recent banking developments would factor into the Committee's monetary policy decisions to the extent that these developments affect the outlook for employment and inflation and the risks surrounding the outlook. Participants reaffirmed their strong commitment to returning inflation to the Committee's 2 percent objective."
6,BART,0.556603774,0.556603774,0.926775157,Participants observed that the actions taken by the Federal Reserve in coordination with other government agencies in the days preceding the meeting had served to calm conditions in the banking sector. Participants agreed that recent banking developments would factor into the Committee's monetary policy decisions to the extent that these developments affect the outlook for employment and inflation.,"Participants observed that the actions taken by the Federal Reserve in coordination with other government agencies in the days preceding the meeting had served to calm conditions in the banking sector. Participants noted that the most significant issues appeared to have been limited to a small number of banks with poor risk-management practices and that the banking system remained sound and resilient. Participants emphasized that the Federal Reserve should use its liquidity and lender-of-last-resort tools, as well as its microprudential and macroprudential regulatory and supervisory tools, to address stress in the banking sector and to mitigate future financial stability risks. Participants agreed that recent banking developments would factor into the Committee's monetary policy decisions to the extent that these developments affect the outlook for employment and inflation and the risks surrounding the outlook. Participants reaffirmed their strong commitment to returning inflation to the Committee's 2 percent objective."
7,TF-IDF,1,0.666666667,0.982155204,"Many participants noted that the likely effects of recent banking-sector developments on economic activity and inflation had led them to lower their assessments of the federal funds rate target range that would be sufficiently restrictive compared with assessments based solely on the recent economic data. In discussing the policy outlook, participants observed that inflation remained much too high and that the labor market remained tight; as a result, they anticipated that some additional policy firming may be appropriate to attain a sufficiently restrictive policy stance to return inflation to 2 percent over time. In determining the extent of future increases in the target range, participants judged that it would be appropriate to take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments.","In discussing the policy outlook, participants observed that inflation remained much too high and that the labor market remained tight; as a result, they anticipated that some additional policy firming may be appropriate to attain a sufficiently restrictive policy stance to return inflation to 2 percent over time. Many participants noted that the likely effects of recent banking-sector developments on economic activity and inflation had led them to lower their assessments of the federal funds rate target range that would be sufficiently restrictive compared with assessments based solely on the recent economic data. In determining the extent of future increases in the target range, participants judged that it would be appropriate to take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments."
7,BERT,0.508108108,0.508108108,0.929355204," In discussing the policy outlook, participants observed that inflation remained too high and that the labor market remained tight . As a result, they anticipated that some additional policy firming may be appropriate to attain a sufficiently restrictive policy stance to return inflation to 2 percent over time .","In discussing the policy outlook, participants observed that inflation remained much too high and that the labor market remained tight; as a result, they anticipated that some additional policy firming may be appropriate to attain a sufficiently restrictive policy stance to return inflation to 2 percent over time. Many participants noted that the likely effects of recent banking-sector developments on economic activity and inflation had led them to lower their assessments of the federal funds rate target range that would be sufficiently restrictive compared with assessments based solely on the recent economic data. In determining the extent of future increases in the target range, participants judged that it would be appropriate to take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments."
7,BART,0.728110599,0.728110599,0.960925341,"In discussing the policy outlook, participants observed that inflation remained much too high and that the labor market remained tight. As a result, they anticipated that some additional policy firming may be appropriate to attain a sufficiently restrictive policy stance to return inflation to 2 percent over time. Many participants noted that the likely effects of recent banking-sector developments on economic activity and inflation had led them to lower their assessments of the federal funds rate target range.","In discussing the policy outlook, participants observed that inflation remained much too high and that the labor market remained tight; as a result, they anticipated that some additional policy firming may be appropriate to attain a sufficiently restrictive policy stance to return inflation to 2 percent over time. Many participants noted that the likely effects of recent banking-sector developments on economic activity and inflation had led them to lower their assessments of the federal funds rate target range that would be sufficiently restrictive compared with assessments based solely on the recent economic data. In determining the extent of future increases in the target range, participants judged that it would be appropriate to take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments."
8,TF-IDF,1,0.711111111,0.984518588,"Participants noted that it would be particularly important to review incoming information regarding changes in credit conditions and credit flows as well as broader changes in financial conditions and to assess the implications for economic activity, labor markets, and inflation. In light of the highly uncertain economic outlook, participants underscored the importance of closely monitoring incoming information and assessing the implications for future monetary policy decisions. Several participants emphasized the need to retain flexibility and optionality in determining the appropriate stance of monetary policy given the highly uncertain economic outlook.","In light of the highly uncertain economic outlook, participants underscored the importance of closely monitoring incoming information and assessing the implications for future monetary policy decisions. Participants noted that it would be particularly important to review incoming information regarding changes in credit conditions and credit flows as well as broader changes in financial conditions and to assess the implications for economic activity, labor markets, and inflation. Several participants emphasized the need to retain flexibility and optionality in determining the appropriate stance of monetary policy given the highly uncertain economic outlook."
8,BERT,0.676470588,0.676470588,0.959406435," In light of the highly uncertain economic outlook, participants underscored the importance of closely monitoring incoming information and assessing the implications for future monetary policy decisions . Participants noted that it would be particularly important to review incoming information regarding changes in credit conditions and credit flows .","In light of the highly uncertain economic outlook, participants underscored the importance of closely monitoring incoming information and assessing the implications for future monetary policy decisions. Participants noted that it would be particularly important to review incoming information regarding changes in credit conditions and credit flows as well as broader changes in financial conditions and to assess the implications for economic activity, labor markets, and inflation. Several participants emphasized the need to retain flexibility and optionality in determining the appropriate stance of monetary policy given the highly uncertain economic outlook."
8,BART,0.823529412,0.823529412,0.975710809,"In light of the highly uncertain economic outlook, participants underscored the importance of closely monitoring incoming information. Participants noted that it would be particularly important to review incoming information regarding changes in credit conditions and credit flows as well as broader changes in financial conditions. Several participants emphasized the need to retain flexibility and optionality in determining the appropriate stance of monetary policy.","In light of the highly uncertain economic outlook, participants underscored the importance of closely monitoring incoming information and assessing the implications for future monetary policy decisions. Participants noted that it would be particularly important to review incoming information regarding changes in credit conditions and credit flows as well as broader changes in financial conditions and to assess the implications for economic activity, labor markets, and inflation. Several participants emphasized the need to retain flexibility and optionality in determining the appropriate stance of monetary policy given the highly uncertain economic outlook."
9,TF-IDF,0.869047619,0.654761905,0.957881749,"Some participants also noted that, with inflation still well above the Committee's longer-run goal and the recent economic data remaining strong, upside risks to the inflation outlook remained a key factor shaping the policy outlook, and that maintaining a restrictive policy stance until inflation is clearly on a downward path toward 2 percent would be appropriate from a risk-management perspective. Participants generally agreed on the importance of closely monitoring incoming information and its implications for the economic outlook, and that they were prepared to adjust their views on the appropriate stance of monetary policy in response to the incoming data and emerging risks to the economic outlook. Some participants observed that downside risks to growth and upside risks to unemployment had increased because of the risk that banking-sector developments could lead to further tightening of credit conditions and weigh on economic activity.","Participants emphasized a number of risk-management considerations related to the conduct of monetary policy. Some participants observed that downside risks to growth and upside risks to unemployment had increased because of the risk that banking-sector developments could lead to further tightening of credit conditions and weigh on economic activity. Some participants also noted that, with inflation still well above the Committee's longer-run goal and the recent economic data remaining strong, upside risks to the inflation outlook remained a key factor shaping the policy outlook, and that maintaining a restrictive policy stance until inflation is clearly on a downward path toward 2 percent would be appropriate from a risk-management perspective. Several participants noted the importance of longer-term inflation expectations remaining anchored and remarked that the longer inflation remained elevated, the greater the risk of inflation expectations becoming unanchored. Participants generally agreed on the importance of closely monitoring incoming information and its implications for the economic outlook, and that they were prepared to adjust their views on the appropriate stance of monetary policy in response to the incoming data and emerging risks to the economic outlook."
9,BERT,0.423236515,0.423236515,0.917492807, Participants emphasized a number of risk-management considerations related to the conduct of monetary policy . Some participants observed that downside risks to growth and upside risks to unemployment had increased because of the risk that banking-sector developments could lead to further tightening of credit conditions and weigh on economic activity .,"Participants emphasized a number of risk-management considerations related to the conduct of monetary policy. Some participants observed that downside risks to growth and upside risks to unemployment had increased because of the risk that banking-sector developments could lead to further tightening of credit conditions and weigh on economic activity. Some participants also noted that, with inflation still well above the Committee's longer-run goal and the recent economic data remaining strong, upside risks to the inflation outlook remained a key factor shaping the policy outlook, and that maintaining a restrictive policy stance until inflation is clearly on a downward path toward 2 percent would be appropriate from a risk-management perspective. Several participants noted the importance of longer-term inflation expectations remaining anchored and remarked that the longer inflation remained elevated, the greater the risk of inflation expectations becoming unanchored. Participants generally agreed on the importance of closely monitoring incoming information and its implications for the economic outlook, and that they were prepared to adjust their views on the appropriate stance of monetary policy in response to the incoming data and emerging risks to the economic outlook."
9,BART,0.513618677,0.513618677,0.928642392,"Some participants observed that downside risks to growth and upside risks to unemployment had increased because of the risk that banking-sector developments could lead to further tightening of credit conditions. Some participants also noted that, with inflation still well above the Committee's longer-run goal and the recent economic data remaining strong, upsideisks to the inflation outlook remained a key factor shaping the policy outlook.","Participants emphasized a number of risk-management considerations related to the conduct of monetary policy. Some participants observed that downside risks to growth and upside risks to unemployment had increased because of the risk that banking-sector developments could lead to further tightening of credit conditions and weigh on economic activity. Some participants also noted that, with inflation still well above the Committee's longer-run goal and the recent economic data remaining strong, upside risks to the inflation outlook remained a key factor shaping the policy outlook, and that maintaining a restrictive policy stance until inflation is clearly on a downward path toward 2 percent would be appropriate from a risk-management perspective. Several participants noted the importance of longer-term inflation expectations remaining anchored and remarked that the longer inflation remained elevated, the greater the risk of inflation expectations becoming unanchored. Participants generally agreed on the importance of closely monitoring incoming information and its implications for the economic outlook, and that they were prepared to adjust their views on the appropriate stance of monetary policy in response to the incoming data and emerging risks to the economic outlook."
10,TF-IDF,0.888888889,0.425120773,0.964482844,"They also agreed that recent developments were likely to result in tighter credit conditions for households and businesses and to weigh on economic activity, hiring, and inflation, but that the extent of these effects was uncertain. They also concurred that job gains had picked up in recent months and were running at a robust pace, that the unemployment rate had remained low, and that inflation remains elevated. Committee Policy Actions
In their discussion of monetary policy for this meeting, members agreed that recent indicators pointed to modest growth in spending and production.","Committee Policy Actions
In their discussion of monetary policy for this meeting, members agreed that recent indicators pointed to modest growth in spending and production. They also concurred that job gains had picked up in recent months and were running at a robust pace, that the unemployment rate had remained low, and that inflation remains elevated. Members concurred that the U.S. banking system is sound and resilient. They also agreed that recent developments were likely to result in tighter credit conditions for households and businesses and to weigh on economic activity, hiring, and inflation, but that the extent of these effects was uncertain. Members also concurred that they remained highly attentive to inflation risks."
10,BERT,0.476821192,0.476821192,0.898628533, Members concurred that the U.S. banking system is sound and resilient . They agreed that recent developments were likely to result in tighter credit conditions for households and businesses . The extent of these effects was uncertain .,"Committee Policy Actions
In their discussion of monetary policy for this meeting, members agreed that recent indicators pointed to modest growth in spending and production. They also concurred that job gains had picked up in recent months and were running at a robust pace, that the unemployment rate had remained low, and that inflation remains elevated. Members concurred that the U.S. banking system is sound and resilient. They also agreed that recent developments were likely to result in tighter credit conditions for households and businesses and to weigh on economic activity, hiring, and inflation, but that the extent of these effects was uncertain. Members also concurred that they remained highly attentive to inflation risks."
10,BART,0.685714286,0.674285714,0.93728894,"Committee members agreed that recent indicators pointed to modest growth in spending and production. Members concurred that the U.S. banking system is sound and resilient. Recent developments were likely to result in tighter credit conditions for households and businesses and to weigh on economic activity, hiring, and inflation. Members also agreed that they remained highly attentive to inflation risks.","Committee Policy Actions
In their discussion of monetary policy for this meeting, members agreed that recent indicators pointed to modest growth in spending and production. They also concurred that job gains had picked up in recent months and were running at a robust pace, that the unemployment rate had remained low, and that inflation remains elevated. Members concurred that the U.S. banking system is sound and resilient. They also agreed that recent developments were likely to result in tighter credit conditions for households and businesses and to weigh on economic activity, hiring, and inflation, but that the extent of these effects was uncertain. Members also concurred that they remained highly attentive to inflation risks."
